id,reason
A000948,structure_missing
A005525,structure_missing
A005915,structure_missing
A006016,structure_missing
A006017,structure_missing
A006018,structure_missing
A006104,structure_missing
A006395,structure_missing
A006396,structure_missing
A006476,structure_missing
A007269,structure_missing
A007827,structure_missing
A009369,structure_missing
A009370,structure_missing
A009451,structure_missing
A009452,structure_missing
A009453,structure_missing
A010468,structure_missing
A011573,structure_missing
A013987,structure_missing
A014488,structure_missing
A014760,structure_missing
A016219,structure_missing
A016783,structure_missing
A016896,structure_missing
A020332,structure_missing
A021433,structure_missing
A021675,structure_missing
A023090,structure_missing
A023523,structure_missing
A025513,structure_missing
A027506,structure_missing
A027514,structure_missing
A027516,structure_missing
A027518,structure_missing
A027521,structure_missing
A027522,structure_missing
A027523,structure_missing
A027670,structure_missing
A042430,structure_missing
A042837,structure_missing
A043541,structure_missing
A044011,structure_missing
A044270,structure_missing
A044271,structure_missing
A044272,structure_missing
A044273,structure_missing
A046141,structure_missing
A046285,structure_missing
A046286,structure_missing
A046287,structure_missing
A046288,structure_missing
A046289,structure_missing
A047547,structure_missing
A047681,structure_missing
A047857,structure_missing
A047989,structure_missing
A048166,structure_missing
A048296,structure_missing
A048445,structure_missing
A048690,structure_missing
A048691,structure_missing
A048891,structure_missing
A049036,structure_missing
A049180,structure_missing
A049344,structure_missing
A049468,structure_missing
A049698,structure_missing
A049699,structure_missing
A049887,structure_missing
A050025,structure_missing
A050162,structure_missing
A050319,structure_missing
A050436,structure_missing
A050570,structure_missing
A050724,structure_missing
A050838,structure_missing
A050969,structure_missing
A051120,structure_missing
A051231,structure_missing
A051368,structure_missing
A051495,structure_missing
A051642,structure_missing
A051771,structure_missing
A051901,structure_missing
A052008,structure_missing
A052152,structure_missing
A052276,structure_missing
A052402,structure_missing
A052502,structure_missing
A052646,structure_missing
A052766,structure_missing
A052863,structure_missing
A052979,structure_missing
A053093,structure_missing
A053206,structure_missing
A053339,structure_missing
A053432,structure_missing
A053542,structure_missing
A053752,structure_missing
A053753,structure_missing
A053871,structure_missing
A053977,structure_missing
A054103,structure_missing
A054190,structure_missing
A054294,structure_missing
A054415,structure_missing
A054501,structure_missing
A054601,structure_missing
A054722,structure_missing
A054827,structure_missing
A054908,structure_missing
A055008,structure_missing
A055104,structure_missing
A055199,structure_missing
A055311,structure_missing
A055391,structure_missing
A055497,structure_missing
A055590,structure_missing
A055668,structure_missing
A055776,structure_missing
A055853,structure_missing
A055939,structure_missing
A056024,structure_missing
A056108,structure_missing
A056194,structure_missing
A056292,structure_missing
A056372,structure_missing
A056465,structure_missing
A056546,structure_missing
A056637,structure_missing
A056705,structure_missing
A056781,structure_missing
A056868,structure_missing
A056934,structure_missing
A057019,structure_missing
A057119,structure_missing
A057193,structure_missing
A057269,structure_missing
A057358,structure_missing
A057430,structure_missing
A057500,structure_missing
A057568,structure_missing
A057635,structure_missing
A057702,structure_missing
A057768,structure_missing
A057834,structure_missing
A057898,structure_missing
A057961,structure_missing
A058023,structure_missing
A058084,structure_missing
A058144,structure_missing
A058204,structure_missing
A058261,structure_missing
A058319,structure_missing
A058374,structure_missing
A058429,structure_missing
A058486,structure_missing
A058539,structure_missing
A058591,structure_missing
A058642,structure_missing
A058692,structure_missing
A058739,structure_missing
A058790,structure_missing
A058836,structure_missing
A058857,structure_missing
A058858,structure_missing
A058859,structure_missing
A058860,structure_missing
A058861,structure_missing
A058862,structure_missing
A058863,structure_missing
A058864,structure_missing
A058865,structure_missing
A058866,structure_missing
A058867,structure_missing
A058868,structure_missing
A058869,structure_missing
A058870,structure_missing
A058871,structure_missing
A058872,structure_missing
A058873,structure_missing
A058874,structure_missing
A058875,structure_missing
A058876,structure_missing
A058877,structure_missing
A058878,structure_missing
A058879,structure_missing
A058880,structure_missing
A058881,structure_missing
A058882,structure_missing
A058883,structure_missing
A058884,structure_missing
A058885,structure_missing
A058886,structure_missing
A058887,structure_missing
A058888,structure_missing
A058889,structure_missing
A058890,structure_missing
A058891,structure_missing
A058892,structure_missing
A058893,structure_missing
A058894,structure_missing
A058895,structure_missing
A058896,structure_missing
A058897,structure_missing
A058898,structure_missing
A058899,structure_missing
A058900,structure_missing
A058901,structure_missing
A058902,structure_missing
A060367,structure_missing
A060426,structure_missing
A060459,structure_missing
A060568,structure_missing
A060676,structure_missing
A060706,structure_missing
A060739,structure_missing
A060767,structure_missing
A060794,structure_missing
A060834,structure_missing
A060861,structure_missing
A060890,structure_missing
A060951,structure_missing
A060965,structure_missing
A060982,structure_missing
A061017,structure_missing
A061070,structure_missing
A061084,structure_missing
A061101,structure_missing
A061129,structure_missing
A061153,structure_missing
A061178,structure_missing
A061206,structure_missing
A061251,structure_missing
A061265,structure_missing
A061283,structure_missing
A061307,structure_missing
A061353,structure_missing
A061367,structure_missing
A061385,structure_missing
A061424,structure_missing
A061438,structure_missing
A061455,structure_missing
A061476,structure_missing
A061498,structure_missing
A061519,structure_missing
A061536,structure_missing
A061558,structure_missing
A061581,structure_missing
A061601,structure_missing
A061629,structure_missing
A061643,structure_missing
A061660,structure_missing
A061692,structure_missing
A061706,structure_missing
A061715,structure_missing
A061716,structure_missing
A061717,structure_missing
A061718,structure_missing
A061720,structure_missing
A061721,structure_missing
A061722,structure_missing
A061723,structure_missing
A061724,structure_missing
A061725,structure_missing
A061726,structure_missing
A061727,structure_missing
A061728,structure_missing
A061730,structure_missing
A061731,structure_missing
A061732,structure_missing
A061733,structure_missing
A061748,structure_missing
A061766,structure_missing
A061777,structure_missing
A061778,structure_missing
A061779,structure_missing
A061780,structure_missing
A061781,structure_missing
A061782,structure_missing
A061783,structure_missing
A061784,structure_missing
A061785,structure_missing
A061786,structure_missing
A061787,structure_missing
A061788,structure_missing
A061789,structure_missing
A061790,structure_missing
A061791,structure_missing
A061792,structure_missing
A061793,structure_missing
A061794,structure_missing
A061795,structure_missing
A061796,structure_missing
A061797,structure_missing
A061798,structure_missing
A061799,structure_missing
A061800,structure_missing
A061801,structure_missing
A061802,structure_missing
A061803,structure_missing
A061804,structure_missing
A061805,structure_missing
A061806,structure_missing
A061807,structure_missing
A061808,structure_missing
A061809,structure_missing
A061810,structure_missing
A062405,structure_missing
A062627,structure_missing
A062785,structure_missing
A062920,structure_missing
A063033,structure_missing
A063167,structure_missing
A063272,structure_missing
A063379,structure_missing
A063642,structure_missing
A063652,structure_missing
A063854,structure_missing
A063988,structure_missing
A064352,structure_missing
A064685,structure_missing
A064815,structure_missing
A065254,structure_missing
A065255,structure_missing
A065702,structure_missing
A066275,structure_missing
A066402,structure_missing
A066645,structure_missing
A066778,structure_missing
A066906,structure_missing
A067080,structure_missing
A067081,structure_missing
A067329,structure_missing
A067330,structure_missing
A067488,structure_missing
A067610,structure_missing
A067903,structure_missing
A068083,structure_missing
A068203,structure_missing
A068638,structure_missing
A069446,structure_missing
A069562,structure_missing
A070014,structure_missing
A070015,structure_missing
A070690,structure_missing
A070736,structure_missing
A070813,structure_missing
A070927,structure_missing
A071040,structure_missing
A071288,structure_missing
A071448,structure_missing
A071759,structure_missing
A071879,structure_missing
A072206,structure_missing
A072398,structure_missing
A072521,structure_missing
A072636,structure_missing
A072869,structure_missing
A072995,structure_missing
A073109,structure_missing
A073511,structure_missing
A073624,structure_missing
A073717,structure_missing
A074285,structure_missing
A074579,structure_missing
A074692,structure_missing
A074919,structure_missing
A075036,structure_missing
A075155,structure_missing
A075240,structure_missing
A075352,structure_missing
A075588,structure_missing
A075940,structure_missing
A076051,structure_missing
A076276,structure_missing
A076696,structure_missing
A076876,structure_missing
A077296,structure_missing
A077404,structure_missing
A077631,structure_missing
A077791,structure_missing
A077792,structure_missing
A078013,structure_missing
A078014,structure_missing
A078497,structure_missing
A078498,structure_missing
A079260,structure_missing
A079261,structure_missing
A079627,structure_missing
A079729,structure_missing
A080026,structure_missing
A080126,structure_missing
A080620,structure_missing
A081119,structure_missing
A081233,structure_missing
A081328,structure_missing
A081541,structure_missing
A082099,structure_missing
A083507,structure_missing
A083808,structure_missing
A083809,structure_missing
A083810,structure_missing
A083811,structure_missing
A083812,structure_missing
A083813,structure_missing
A083814,structure_missing
A083815,structure_missing
A083816,structure_missing
A083817,structure_missing
A083818,structure_missing
A083819,structure_missing
A083820,structure_missing
A083821,structure_missing
A083822,structure_missing
A083823,structure_missing
A083824,structure_missing
A083825,structure_missing
A083826,structure_missing
A083827,structure_missing
A083828,structure_missing
A083829,structure_missing
A083830,structure_missing
A083831,structure_missing
A083832,structure_missing
A083833,structure_missing
A083834,structure_missing
A083835,structure_missing
A083836,structure_missing
A083837,structure_missing
A083838,structure_missing
A083839,structure_missing
A083840,structure_missing
A083841,structure_missing
A083842,structure_missing
A083843,structure_missing
A083844,structure_missing
A083845,structure_missing
A083846,structure_missing
A083847,structure_missing
A083848,structure_missing
A083849,structure_missing
A083850,structure_missing
A083851,structure_missing
A083852,structure_missing
A083853,structure_missing
A083854,structure_missing
A084554,structure_missing
A084842,structure_missing
A084880,structure_missing
A085229,structure_missing
A085325,structure_missing
A085397,structure_missing
A085435,structure_missing
A085494,structure_missing
A085580,structure_missing
A085652,structure_missing
A085690,structure_missing
A085749,structure_missing
A085834,structure_missing
A086042,structure_missing
A086368,structure_missing
A086406,structure_missing
A086583,structure_missing
A086905,structure_missing
A086943,structure_missing
A087120,structure_missing
A087224,structure_missing
A087309,structure_missing
A087511,structure_missing
A087952,structure_missing
A088288,structure_missing
A088801,structure_missing
A088838,structure_missing
A089216,structure_missing
A089301,structure_missing
A089386,structure_missing
A089388,structure_missing
A089391,structure_missing
A089393,structure_missing
A089416,structure_missing
A089419,structure_missing
A089435,structure_missing
A089436,structure_missing
A089441,structure_missing
A089454,structure_missing
A089736,structure_missing
A089737,structure_missing
A089894,structure_missing
A089895,structure_missing
A090213,structure_missing
A090455,structure_missing
A090533,structure_missing
A091520,structure_missing
A092450,structure_missing
A092483,structure_missing
A093093,structure_missing
A093168,structure_missing
A093214,structure_missing
A093215,structure_missing
A093217,structure_missing
A093219,structure_missing
A093220,structure_missing
A093221,structure_missing
A093222,structure_missing
A093223,structure_missing
A093224,structure_missing
A093225,structure_missing
A093226,structure_missing
A093228,structure_missing
A093229,structure_missing
A093230,structure_missing
A093231,structure_missing
A093233,structure_missing
A093234,structure_missing
A093235,structure_missing
A093236,structure_missing
A093237,structure_missing
A093239,structure_missing
A093240,structure_missing
A093241,structure_missing
A093242,structure_missing
A093244,structure_missing
A093245,structure_missing
A093246,structure_missing
A093247,structure_missing
A093248,structure_missing
A093249,structure_missing
A093250,structure_missing
A093251,structure_missing
A093253,structure_missing
A093254,structure_missing
A093255,structure_missing
A093256,structure_missing
A093257,structure_missing
A093258,structure_missing
A093259,structure_missing
A093260,structure_missing
A093261,structure_missing
A093263,structure_missing
A093264,structure_missing
A093265,structure_missing
A093266,structure_missing
A093267,structure_missing
A093268,structure_missing
A093269,structure_missing
A093270,structure_missing
A093271,structure_missing
A093272,structure_missing
A093273,structure_missing
A093274,structure_missing
A093276,structure_missing
A093277,structure_missing
A093281,structure_missing
A093282,structure_missing
A093283,structure_missing
A093284,structure_missing
A093285,structure_missing
A093286,structure_missing
A093287,structure_missing
A093288,structure_missing
A093289,structure_missing
A093290,structure_missing
A093291,structure_missing
A093292,structure_missing
A093293,structure_missing
A093294,structure_missing
A093295,structure_missing
A093296,structure_missing
A093297,structure_missing
A093298,structure_missing
A093299,structure_missing
A093300,structure_missing
A093301,structure_missing
A093302,structure_missing
A093304,structure_missing
A093305,structure_missing
A093306,structure_missing
A093307,structure_missing
A093308,structure_missing
A093309,structure_missing
A093310,structure_missing
A093311,structure_missing
A093312,structure_missing
A093313,structure_missing
A093314,structure_missing
A093315,structure_missing
A093316,structure_missing
A093317,structure_missing
A093318,structure_missing
A093319,structure_missing
A093320,structure_missing
A093321,structure_missing
A093322,structure_missing
A093323,structure_missing
A093324,structure_missing
A093325,structure_missing
A093326,structure_missing
A093328,structure_missing
A093329,structure_missing
A093330,structure_missing
A093331,structure_missing
A093333,structure_missing
A093334,structure_missing
A093335,structure_missing
A093336,structure_missing
A093337,structure_missing
A093338,structure_missing
A093339,structure_missing
A093340,structure_missing
A093341,structure_missing
A093342,structure_missing
A093343,structure_missing
A093344,structure_missing
A093345,structure_missing
A093346,structure_missing
A093347,structure_missing
A093348,structure_missing
A093349,structure_missing
A093350,structure_missing
A093351,structure_missing
A093352,structure_missing
A093353,structure_missing
A093354,structure_missing
A093355,structure_missing
A093356,structure_missing
A093357,structure_missing
A093358,structure_missing
A093359,structure_missing
A093360,structure_missing
A093361,structure_missing
A093362,structure_missing
A093363,structure_missing
A093364,structure_missing
A093365,structure_missing
A093366,structure_missing
A093367,structure_missing
A093368,structure_missing
A093369,structure_missing
A093370,structure_missing
A093371,structure_missing
A093372,structure_missing
A093373,structure_missing
A093374,structure_missing
A093375,structure_missing
A093377,structure_missing
A093378,structure_missing
A093380,structure_missing
A093381,structure_missing
A093382,structure_missing
A093383,structure_missing
