id,grp_num
A000441,T00119
A000457,T00166
A000506,T00152
A001232,T00165
A001261,T00157
A001360,T00178
A001666,T00179
A001740,T00180
A001808,T00106
A001818,T00181
A001821,T00182
A001841,T00029
A001846,T00103
A001848,T00183
A001860,T00184
A001884,T00185
A001923,T00015
A001926,T00186
A001939,T00024
A001979,T00187
A001991,T00188
A001995,T00189
A002010,T00190
A002016,T00191
A002030,T00164
A002032,T00192
A002039,T00016
A002051,T00193
A002058,T00194
A002107,T00195
A003269,T00196
A003285,T00196
A003523,T00197
A004037,T00198
A004088,T00198
A004819,T00199
A005217,T00200
A005224,T00201
A005386,T00200
A005393,T00202
A005409,T00203
A005411,T00203
A005683,T00050
A006141,T00163
A006220,T00136
A006359,T00116
A006772,T00033
A006773,T00034
A007032,T00040
A007070,T00042
A008829,T00171
A008931,T00170
A009223,T00131
A010270,T00117
A010324,T00204
A010499,T00205
A010879,T00206
A011009,T00107
A011606,T00207
A011614,T00153
A013128,T00135
A013143,T00037
A013144,T00038
A014316,T00155
A014412,T00142
A014441,T00143
A016742,T00020
A016757,T00019
A017118,T00208
A017682,T00209
A018755,T00210
A019284,T00211
A019910,T00212
A019912,T00213
A020149,T00032
A020152,T00214
A020163,T00215
A020176,T00216
A020177,T00217
A020178,T00218
A020383,T00219
A020504,T00220
A022544,T00221
A023807,T00222
A024145,T00008
A024159,T00097
A024662,T00139
A024663,T00141
A024678,T00074
A024688,T00105
A025081,T00140
A025250,T00146
A025431,T00101
A025674,T00222
A027331,T00132
A027953,T00090
A028174,T00137
A028175,T00138
A028878,T00104
A031006,T00223
A031324,T00224
A031325,T00225
A036261,T00226
A036262,T00226
A036263,T00227
A039396,T00228
A039398,T00228
A041111,T00133
A041318,T00093
A042379,T00151
A042385,T00113
A042387,T00114
A042476,T00094
A042799,T00061
A042842,T00084
A045857,T00014
A045881,T00013
A047736,T00130
A047991,T00168
A048038,T00102
A049007,T00122
A049404,T00092
A049594,T00229
A049595,T00229
A049656,T00230
A049657,T00230
A049668,T00231
A049669,T00231
A053760,T00232
A053761,T00232
A060021,T00110
A060122,T00158
A060644,T00233
A060669,T00234
A060702,T00235
A060719,T00236
A060722,T00045
A060760,T00237
A060776,T00238
A060780,T00046
A061241,T00239
A061572,T00240
A063247,T00241
A063871,T00129
A064700,T00242
A064758,T00243
A064901,T00128
A064943,T00063
A064962,T00109
A065259,T00244
A065285,T00245
A065314,T00006
A065351,T00246
A065362,T00247
A065363,T00247
A065408,T00248
A067010,T00238
A069468,T00249
A069553,T00250
A069668,T00251
A069744,T00252
A069752,T00253
A069773,T00254
A070148,T00255
A070149,T00255
A070400,T00256
A070402,T00256
A070570,T00257
A070571,T00257
A071293,T00249
A071320,T00258
A071321,T00258
A071350,T00259
A071351,T00259
A071354,T00260
A071355,T00260
A071397,T00250
A071408,T00261
A071409,T00261
A071475,T00262
A071476,T00262
A071477,T00263
A071478,T00263
A071617,T00264
A071618,T00264
A071631,T00265
A071632,T00265
A071637,T00266
A071638,T00266
A071736,T00006
A071782,T00244
A071870,T00246
A072061,T00267
A072069,T00268
A074581,T00269
A078151,T00270
A078152,T00270
A078153,T00271
A078154,T00271
A078157,T00272
A078158,T00272
A078170,T00273
A078171,T00273
A078330,T00248
A078336,T00245
A078434,T00274
