id, reason
A000023, failed to balance
A000024, failed to balance
A000025, failed to balance
A000026, failed to balance
A000287, failed to balance
A000606, failed to balance
A000607, failed to balance
A000608, failed to balance
A000609, failed to balance
A000613, failed to balance
A000699, failed to balance
A000700, failed to balance
A000701, failed to balance
A000702, failed to balance
A000704, failed to balance
A000761, failed to balance
A000762, failed to balance
A000763, failed to balance
A000764, failed to balance
A000790, failed to balance
A000791, failed to balance
A000792, failed to balance
A000793, failed to balance
A001005, failed to balance
A001374, failed to balance
A001375, failed to balance
A001376, failed to balance
A001377, failed to balance
A001378, failed to balance
A001408, failed to balance
A001409, failed to balance
A001410, failed to balance
A001419, failed to balance
A001420, failed to balance
A001421, failed to balance
A001430, failed to balance
A001488, failed to balance
A001489, failed to balance
A001503, failed to balance
A001506, failed to balance
A001507, failed to balance
A001521, failed to balance
A001524, failed to balance
A001526, failed to balance
A001565, failed to balance
A001567, failed to balance
A001569, failed to balance
A001608, failed to balance
A001651, failed to balance
A001659, failed to balance
A001710, failed to balance
A001711, failed to balance
A001712, failed to balance
A001715, failed to balance
A001766, failed to balance
A001767, failed to balance
A001768, failed to balance
A001951, failed to balance
A002109, failed to balance
A002112, failed to balance
A002123, failed to balance
A002162, failed to balance
A002171, failed to balance
A002287, failed to balance
A002586, failed to balance
A002830, failed to balance
A002839, failed to balance
A005414, failed to balance
A005415, failed to balance
A005416, failed to balance
A005417, failed to balance
A005419, failed to balance
A005420, failed to balance
A005421, failed to balance
A005422, failed to balance
A005423, failed to balance
A005424, failed to balance
A005425, failed to balance
A005426, failed to balance
A005427, failed to balance
A005428, failed to balance
A005429, failed to balance
A005430, failed to balance
A005431, failed to balance
A005432, failed to balance
A005433, failed to balance
A005434, failed to balance
A005435, failed to balance
A005436, failed to balance
A005437, failed to balance
A005438, failed to balance
A005439, failed to balance
A005440, failed to balance
A005441, failed to balance
A005442, failed to balance
A005443, failed to balance
A005444, failed to balance
A005445, failed to balance
A005446, failed to balance
A005447, failed to balance
A005448, failed to balance
A005449, failed to balance
A005450, failed to balance
A005451, failed to balance
A005452, failed to balance
A005453, failed to balance
A005455, failed to balance
A005456, failed to balance
A005457, failed to balance
A005458, failed to balance
A005459, failed to balance
A005460, failed to balance
A005461, failed to balance
A005462, failed to balance
A005463, failed to balance
A005464, failed to balance
A005465, failed to balance
A005466, failed to balance
A005467, failed to balance
A005468, failed to balance
A005469, failed to balance
A005470, failed to balance
A005471, failed to balance
A005472, failed to balance
A005473, failed to balance
A005474, failed to balance
A005475, failed to balance
A005476, failed to balance
A005477, failed to balance
A005478, failed to balance
A005479, failed to balance
A005480, failed to balance
A005481, failed to balance
A005482, failed to balance
A005483, failed to balance
A005507, failed to balance
A005671, failed to balance
A005688, failed to balance
A005689, failed to balance
A005690, failed to balance
A005767, failed to balance
A005768, failed to balance
A009698, failed to balance
A010109, failed to balance
A010110, failed to balance
A010111, failed to balance
A010112, failed to balance
A010113, failed to balance
A010114, failed to balance
A010201, failed to balance
A010205, failed to balance
A010212, failed to balance
A010266, failed to balance
A010268, failed to balance
A010308, failed to balance
A010369, failed to balance
A010370, failed to balance
A010371, failed to balance
A010372, failed to balance
A010390, failed to balance
A010391, failed to balance
A010392, failed to balance
A010393, failed to balance
A010545, failed to balance
A010737, failed to balance
A010738, failed to balance
A010739, failed to balance
A010740, failed to balance
A010746, failed to balance
A010747, failed to balance
A010760, failed to balance
A010761, failed to balance
A010763, failed to balance
A010764, failed to balance
A010765, failed to balance
A010766, failed to balance
A010767, failed to balance
A010768, failed to balance
A010769, failed to balance
A010772, failed to balance
A010886, failed to balance
A010887, failed to balance
A010911, failed to balance
A011125, failed to balance
A011128, failed to balance
A011741, failed to balance
A012494, failed to balance
A012495, failed to balance
A012496, failed to balance
A012497, failed to balance
A012503, failed to balance
A012504, failed to balance
A012505, failed to balance
A012506, failed to balance
A012507, failed to balance
A012508, failed to balance
A012509, failed to balance
A012510, failed to balance
A012511, failed to balance
A013661, failed to balance
A013760, failed to balance
A013864, failed to balance
A014065, failed to balance
A014597, failed to balance
A014669, failed to balance
A014670, failed to balance
A014671, failed to balance
A014688, failed to balance
A014689, failed to balance
A014690, failed to balance
A014701, failed to balance
A014702, failed to balance
A014703, failed to balance
A014852, failed to balance
A015695, failed to balance
A015844, failed to balance
A015977, failed to balance
A016094, failed to balance
A016947, failed to balance
A017001, failed to balance
A017006, failed to balance
A017007, failed to balance
A017008, failed to balance
A017027, failed to balance
A017028, failed to balance
A017029, failed to balance
A017032, failed to balance
A017033, failed to balance
A017034, failed to balance
A017166, failed to balance
A017168, failed to balance
A017292, failed to balance
A017294, failed to balance
A017341, failed to balance
A017510, failed to balance
A017812, failed to balance
A017862, failed to balance
A017863, failed to balance
A018313, failed to balance
A018769, failed to balance
A019493, failed to balance
A019519, failed to balance
A020127, failed to balance
A020188, failed to balance
A020624, failed to balance
A020626, failed to balance
A020633, failed to balance
A020636, failed to balance
A021072, failed to balance
A021384, failed to balance
A021385, failed to balance
A021386, failed to balance
A021883, failed to balance
A021910, failed to balance
A022169, failed to balance
A022170, failed to balance
A022171, failed to balance
A022172, failed to balance
A022174, failed to balance
A022175, failed to balance
A022185, failed to balance
A022238, failed to balance
A022258, failed to balance
A022533, failed to balance
A022538, failed to balance
A022540, failed to balance
A022543, failed to balance
A022545, failed to balance
A022584, failed to balance
A022585, failed to balance
A023195, failed to balance
A023256, failed to balance
A023720, failed to balance
A024027, failed to balance
A024230, failed to balance
A025114, failed to balance
A025149, failed to balance
A025775, failed to balance
A025966, failed to balance
A027614, failed to balance
A027615, failed to balance
A027616, failed to balance
A027631, failed to balance
A027632, failed to balance
A027633, failed to balance
A027638, failed to balance
A027639, failed to balance
A027640, failed to balance
A027642, failed to balance
A027643, failed to balance
A027644, failed to balance
A027648, failed to balance
A027649, failed to balance
A027650, failed to balance
A027652, failed to balance
A027653, failed to balance
A027655, failed to balance
A027656, failed to balance
A027657, failed to balance
A027659, failed to balance
A027660, failed to balance
A027661, failed to balance
A027663, failed to balance
A028142, failed to balance
A028151, failed to balance
A028277, failed to balance
A028623, failed to balance
A028625, failed to balance
A030700, failed to balance
A030759, failed to balance
A031664, failed to balance
A032859, failed to balance
A033188, failed to balance
A033249, failed to balance
A033900, failed to balance
A033901, failed to balance
A033993, failed to balance
A034164, failed to balance
A034803, failed to balance
A038735, failed to balance
A040331, failed to balance
A040400, failed to balance
A040449, failed to balance
A040453, failed to balance
A040460, failed to balance
A040484, failed to balance
A040485, failed to balance
A040486, failed to balance
A040488, failed to balance
A040491, failed to balance
A040493, failed to balance
A040494, failed to balance
A040495, failed to balance
A040498, failed to balance
A040499, failed to balance
A040500, failed to balance
A040501, failed to balance
A040506, failed to balance
A040507, failed to balance
A040511, failed to balance
A040516, failed to balance
A040518, failed to balance
A040521, failed to balance
A040522, failed to balance
A040523, failed to balance
A040524, failed to balance
A040525, failed to balance
A040526, failed to balance
A040528, failed to balance
A040536, failed to balance
A040537, failed to balance
A040539, failed to balance
A040541, failed to balance
A040544, failed to balance
A040548, failed to balance
A040552, failed to balance
A040553, failed to balance
A040554, failed to balance
A040555, failed to balance
A040563, failed to balance
A040564, failed to balance
A040567, failed to balance
A040570, failed to balance
A040572, failed to balance
A040573, failed to balance
A040591, failed to balance
A040730, failed to balance
A040932, failed to balance
A040939, failed to balance
A041065, failed to balance
A041182, failed to balance
A041190, failed to balance
A041217, failed to balance
A041236, failed to balance
A041237, failed to balance
A041240, failed to balance
A041241, failed to balance
A041242, failed to balance
A042112, failed to balance
A042166, failed to balance
A042195, failed to balance
A042224, failed to balance
A042253, failed to balance
A042304, failed to balance
A042598, failed to balance
A042655, failed to balance
A042678, failed to balance
A045811, failed to balance
A045815, failed to balance
A045816, failed to balance
A046207, failed to balance
A046231, failed to balance
A046235, failed to balance
A046388, failed to balance
A046389, failed to balance
A046390, failed to balance
A046391, failed to balance
A046392, failed to balance
A046393, failed to balance
A046468, failed to balance
A046469, failed to balance
A046470, failed to balance
A046596, failed to balance
A046620, failed to balance
A046624, failed to balance
A046871, failed to balance
A046895, failed to balance
A046899, failed to balance
A046976, failed to balance
A047000, failed to balance
A047004, failed to balance
A047088, failed to balance
A047112, failed to balance
A047116, failed to balance
A047121, failed to balance
A047122, failed to balance
A047123, failed to balance
A047722, failed to balance
A059990, failed to balance
A060024, failed to balance
A060264, failed to balance
A060271, failed to balance
A060280, failed to balance
A060288, failed to balance
A060289, failed to balance
A060290, failed to balance
A060446, failed to balance
A062707, failed to balance
A062719, failed to balance
A062932, failed to balance
A062933, failed to balance
A062950, failed to balance
A062966, failed to balance
A062967, failed to balance
A062968, failed to balance
A063179, failed to balance
A063180, failed to balance
A063197, failed to balance
A063213, failed to balance
A063214, failed to balance
A063215, failed to balance
A063279, failed to balance
A063337, failed to balance
A063727, failed to balance
A064000, failed to balance
A064001, failed to balance
A064017, failed to balance
A064033, failed to balance
A064034, failed to balance
A064035, failed to balance
A064359, failed to balance
A064620, failed to balance
A064827, failed to balance
A064828, failed to balance
A064844, failed to balance
A064860, failed to balance
A064861, failed to balance
A064862, failed to balance
A065144, failed to balance
A065709, failed to balance
A066184, failed to balance
A066918, failed to balance
A066919, failed to balance
A066935, failed to balance
A066951, failed to balance
A066952, failed to balance
A066953, failed to balance
A067353, failed to balance
A067354, failed to balance
A067355, failed to balance
A067356, failed to balance
A067387, failed to balance
A067388, failed to balance
A067419, failed to balance
A067420, failed to balance
A067421, failed to balance
A067422, failed to balance
A067423, failed to balance
A067424, failed to balance
A067622, failed to balance
A067623, failed to balance
A067639, failed to balance
A067655, failed to balance
A067656, failed to balance
A067657, failed to balance
A068215, failed to balance
A068216, failed to balance
A068232, failed to balance
A068248, failed to balance
A068249, failed to balance
A068250, failed to balance
A069574, failed to balance
A069575, failed to balance
A069591, failed to balance
A069607, failed to balance
A069608, failed to balance
A069609, failed to balance
A069839, failed to balance
A070743, failed to balance
A070744, failed to balance
A070747, failed to balance
A070752, failed to balance
A070753, failed to balance
A070754, failed to balance
A070939, failed to balance
A070940, failed to balance
A070956, failed to balance
