compound_id,smiles,formula,molecular_weight,n_heavy_atoms,n_chiral_centers
C00001,[H]O[H],H2O,18.010564684,1,0
C00002,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H16N5O13P3,506.9957454619998,31,6
C00003,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C21H28N7O14P2+,664.1163982560901,44,10
C00004,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C21H29N7O14P2,665.1247718680002,44,10
C00005,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C21H30N7O17P3,745.0911023900003,48,10
C00006,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4ncnc5N)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C21H29N7O17P3+,744.0827287780902,48,10
C00007,O=O,O2,31.98982924,2,0
C00008,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H15N5O10P2,427.02941493999987,27,5
C00009,O=P(O)(O)O,H3O4P,97.976895206,5,0
C00010,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c2ncnc3N)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,C21H36N7O16P3S,767.1152089620001,48,7
C00011,O=C=O,CO2,43.98982924,3,0
