old_id,new_id
C00072,C99919
C01041,C99919
C05204,C99920
C22684,C99920
C09630,C99921
C22909,C99921
C08149,C99922
C08153,C99922
C00146,C99923
C15584,C99923
C00530,C99924
C15602,C99924
C15603,C99924
C00090,C99925
C01785,C99925
C15571,C99925
C01394,C99926
C02205,C99926
C00556,C99927
C03485,C99927
C01835,C99928
C01935,C99928
C01736,C99929
C15586,C99929
C03097,C99930
C11611,C99930
C01898,C99931
C06219,C99931
C21335,C99932
C21454,C99932
C01380,C99933
C15588,C99933
C10043,C99934
C15608,C99934
C01495,C99935
C02790,C99935
C00850,C99936
C02180,C99936
C00404,C99937
C00536,C99937
C02174,C99937
C00193,C99938
C00261,C99938
C04277,C99939
C20990,C99939
C14241,C99940
C19896,C99940
C00180,C99941
C00539,C99941
C21385,C99942
C21669,C99942
C00160,C99943
C03547,C99943
C00989,C99944
C01991,C99944
C00711,C99945
C03668,C99945
C00383,C99946
C02028,C99946
C04025,C99946
C00423,C99947
C10438,C99947
C01484,C99948
C15589,C99948
C20935,C99949
C20936,C99949
C03541,C99950
C04144,C99950
C00734,C99951
C06023,C99951
C02311,C99952
C03687,C99952
C00134,C99953
C02896,C99953
C01255,C99954
C20988,C99954
C00555,C99955
C02903,C99955
C04622,C99956
C19558,C99956
C22637,C99957
C22643,C99957
C06609,C99958
C18627,C99958
C08411,C99959
C21692,C99959
C19152,C99960
C22198,C99960
C07911,C99961
C16719,C99961
C17213,C99962
C21534,C99962
C08412,C99963
C21691,C99963
C17241,C99964
C21535,C99964
C17243,C99965
C21871,C99965
C17244,C99966
C21872,C99966
C01502,C99967
C15572,C99967
C10848,C99968
C11381,C99968
C00729,C99969
C02066,C99969
C08368,C99970
C14826,C99970
C00100,C99971
C02843,C99971
C09843,C99972
C11394,C99972
C00473,C99973
C17276,C99973
C09859,C99974
C11387,C99974
C20322,C99975
C20323,C99975
C01390,C99976
C17628,C99976
C02569,C99977
C04093,C99977
C16689,C99978
C19760,C99978
C05848,C99979
C18131,C99979
C00341,C99980
C05847,C99980
C01048,C99981
C21203,C99981
C05859,C99982
C17435,C99982
C03461,C99983
C16501,C99983
C01499,C99984
C15604,C99984
C00083,C99985
C03188,C99985
C00540,C99986
C16256,C99986
C00548,C99987
C15583,C99987
C12452,C99988
C12453,C99988
C21502,C99989
C22411,C99989
C08452,C99990
C13687,C99990
C07083,C99991
C19506,C99991
C06793,C99992
C19508,C99992
C22638,C99993
C22641,C99993
C00923,C99994
C00924,C99994
C02682,C99994
C02684,C99994
C00511,C99995
C19501,C99995
C19208,C99996
C19502,C99996
C14527,C99997
C19504,C99997
C06547,C99998
C19503,C99998
