id,reaction,ec,module,orthology,pathway,rclass,rhea,balanced_els_stars,balancer_failed,bool_missing_data,bool_var_list,comment,cpd_starred,flags,name,remark,smarts,CBRdb_C_ids
R00001,n C00001 + 1 C98936 <=> n+1 C98936,3.6.1.10,,,,, 22455,False,False,False,True,,False,,polyphosphate polyphosphohydrolase,,[H]O[H].O=P(O)(O)OP(=O)(O)OP(=O)(O)O>>O=P(O)(O)OP(=O)(O)OP(=O)(O)O,C00001 C98936
R00004,1 C00001 + 1 C00013 <=> 2 C00009,3.6.1.1,,,,, 24579,True,False,False,False,,False,,diphosphate phosphohydrolase; pyrophosphate phosphohydrolase,,[H]O[H].O=P(O)(O)OP(=O)(O)O>>O=P(O)(O)O,C00001 C00009 C00013
R00005,1 C00001 + 1 C01010 <=> 2 C00011 + 2 C00014,3.5.1.54,,K01457 K14541,rn00220 rn00791 rn01100 rn01110 rn01120,RC02756__C00011_C01010, 19032,True,False,False,False,"The yeast enzyme (but not that from green algae) also catalyses the;reaction of EC 6.3.4.6 urea carboxylase, thus bringing about the;hydrolysis of urea to CO2 and NH3 in the presence of ATP and;bicarbonate.;R00774 (6.3.4.6)",False,,urea-1-carboxylate amidohydrolase,,[H]O[H].NC(=O)NC(=O)O>>O=C=O.[H]N([H])[H],C00001 C00011 C00014 C01010
R00006,1 C00011 + 1 C00900 <=> 2 C00022,2.2.1.6,,K01652 K01653 K11258,,RC00106__C00022_C00900,,True,False,False,False,TPP-dependent enzymatic reaction (R00014+R03050),False,,pyruvate:pyruvate acetaldehydetransferase (decarboxylating); 2-acetolactate pyruvate-lyase (carboxylating),,O=C=O.CC(=O)C(C)(O)C(=O)O>>CC(=O)C(=O)O,C00011 C00022 C00900
R00008,1 C06033 <=> 2 C00022,4.1.3.17,,K10218,rn00362 rn00660 rn01100 rn01120,RC00502__C00022_C06033 RC01205__C00022_C06033, 22751,True,False,False,False,,False,,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming),,CC(O)(CC(=O)C(=O)O)C(=O)O>>CC(=O)C(=O)O,C00022 C06033
R00009,2 C00001 + 1 C00007 <=> 2 C00027,1.11.1.21 1.11.1.6,M00532,K03781,rn00630 rn01110 rn01200,RC02755__C00007_C00027, 20312,True,False,False,False,,False,,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,,[H]O[H].O=O>>OO,C00001 C00007 C00027
R00010,1 C00001 + 1 C01083 <=> 2 C00031,3.2.1.28,,K01194 K22934,rn00500 rn01100 rn01110,RC00049__C00031_C01083, 32678,True,False,False,False,,False,,"alpha,alpha-trehalose glucohydrolase",Same as: R06103,[H]O[H].OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,C00001 C00031 C01083
R00011,1 C00027 + 2 C00080 + 2 C19610 <=> 2 C00001 + 2 C19611,1.11.1.13 1.11.1.16,,,,, 22779,True,False,False,False,,False,,Mn(II):hydrogen-peroxide oxidoreductase,,OO.[H+].[Mn+2]>>[H]O[H].[Mn+3],C00001 C00027 C00080 C19610 C19611
R00012,1 C00013 + 1 C01261 <=> 2 C00044,2.7.7.45,,,,RC00002__C00044_C01261, 18156,True,False,False,False,,False,,GTP:GTP guanylyltransferase,,O=P(O)(O)OP(=O)(O)O.Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c4nc(N)[nH]c5=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1>>Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C00013 C00044 C01261
R00013,1 C00011 + 1 C01146 <=> 2 C00048,4.1.1.47,,K01608,rn00630 rn01100,RC00899__C00048_C01146, 10139,True,False,False,False,,False,,glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming),,O=C=O.O=CC(O)C(=O)O>>O=CC(=O)O,C00011 C00048 C01146
