id,reaction,ec,module,orthology,pathway,rclass,rhea,comment,name,overall,remark,CBRdb_C_ids
R00001,n C00001 + 1 C98936 <=> n+1 C98936,3.6.1.10,,,,, 22455,,polyphosphate polyphosphohydrolase,,,C00001 C98936
R00002,16 C00001 + 16 C00002 + 8 C00138 <=> 16 C00008 + 16 C00009 + 8 C00139 + 8 C05359,1.18.6.1,,,,RC00002__C00002_C00008,,"a part of multi-step reaction (see R05185, R00002+R00067+R00153+R02802+R04782)",reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),,,C00001 C00002 C00008 C00009 C00138 C00139 C05359
R00004,1 C00001 + 1 C00013 <=> 2 C00009,3.6.1.1,,,,, 24579,,diphosphate phosphohydrolase; pyrophosphate phosphohydrolase,,,C00001 C00009 C00013
R00005,1 C00001 + 1 C01010 <=> 2 C00011 + 2 C00014,3.5.1.54,,K01457 K14541,rn00220 rn00791 rn01100 rn01110 rn01120,RC02756__C00011_C01010, 19032,"The yeast enzyme (but not that from green algae) also catalyses the;reaction of EC 6.3.4.6 urea carboxylase, thus bringing about the;hydrolysis of urea to CO2 and NH3 in the presence of ATP and;bicarbonate.;R00774 (6.3.4.6)",urea-1-carboxylate amidohydrolase,,,C00001 C00011 C00014 C01010
R00006,1 C00011 + 1 C00900 <=> 2 C00022,2.2.1.6,,K01652 K01653 K11258,,RC00106__C00022_C00900,,TPP-dependent enzymatic reaction (R00014+R03050),pyruvate:pyruvate acetaldehydetransferase (decarboxylating); 2-acetolactate pyruvate-lyase (carboxylating),,,C00011 C00022 C00900
R00008,1 C06033 <=> 2 C00022,4.1.3.17,,K10218,rn00362 rn00660 rn01100 rn01120,RC00502__C00022_C06033 RC01205__C00022_C06033, 22751,,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming),,,C00022 C06033
R00009,2 C00001 + 1 C00007 <=> 2 C00027,1.11.1.21 1.11.1.6,M00532,K03781,rn00630 rn01110 rn01200,RC02755__C00007_C00027, 20312,,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,,,C00001 C00007 C00027
R00010,1 C00001 + 1 C01083 <=> 2 C00031,3.2.1.28,,K01194 K22934,rn00500 rn01100 rn01110,RC00049__C00031_C01083, 32678,,"alpha,alpha-trehalose glucohydrolase",,Same as: R06103,C00001 C00031 C01083
R00011,1 C00027 + 2 C00080 + 2 C19610 <=> 2 C00001 + 2 C19611,1.11.1.13 1.11.1.16,,,,, 22779,,Mn(II):hydrogen-peroxide oxidoreductase,,,C00001 C00027 C00080 C19610 C19611
R00012,1 C00013 + 1 C01261 <=> 2 C00044,2.7.7.45,,,,RC00002__C00044_C01261, 18156,,GTP:GTP guanylyltransferase,,,C00013 C00044 C01261
