id, reason
R00034, failed to balance
R00313, failed to balance
R00314, failed to balance
R00914, failed to balance
R00915, failed to balance
R00916, failed to balance
R00991, failed to balance
R01734, failed to balance
R01913, failed to balance
R01966, failed to balance
R01982, failed to balance
R02116, failed to balance
R02184, failed to balance
R02185, failed to balance
R02186, failed to balance
R02187, failed to balance
R02188, failed to balance
R02189, failed to balance
R02360, failed to balance
R02361, failed to balance
R02460, failed to balance
R02713, failed to balance
R02721, failed to balance
R02833, failed to balance
R02854, failed to balance
R03740, failed to balance
R03798, failed to balance
R03911, failed to balance
R04252, failed to balance
R04320, failed to balance
R04343, failed to balance
R04458, failed to balance
R04519, failed to balance
R04616, failed to balance
R04795, failed to balance
R04808, failed to balance
R04879, failed to balance
R04906, failed to balance
R04934, failed to balance
R05089, failed to balance
R05140, failed to balance
R05344, failed to balance
R05470, failed to balance
R05472, failed to balance
R05473, failed to balance
R05474, failed to balance
R05480, failed to balance
R05670, failed to balance
R05675, failed to balance
R05816, failed to balance
R05840, failed to balance
R05860, failed to balance
R05886, failed to balance
R05894, failed to balance
R05900, failed to balance
R06178, failed to balance
R06195, failed to balance
R06196, failed to balance
R06287, failed to balance
R06314, failed to balance
R06315, failed to balance
R06318, failed to balance
R06319, failed to balance
R06320, failed to balance
R06321, failed to balance
R06397, failed to balance
R06503, failed to balance
R06504, failed to balance
R06505, failed to balance
R06587, failed to balance
R06600, failed to balance
R06670, failed to balance
R06672, failed to balance
R06673, failed to balance
R06674, failed to balance
R06698, failed to balance
R06707, failed to balance
R06710, failed to balance
R06711, failed to balance
R06714, failed to balance
R06724, failed to balance
R06725, failed to balance
R06726, failed to balance
R06727, failed to balance
R06731, failed to balance
R06732, failed to balance
R06733, failed to balance
R06737, failed to balance
R06743, failed to balance
R06744, failed to balance
R06745, failed to balance
R06762, failed to balance
R06766, failed to balance
R06798, failed to balance
R06823, failed to balance
R06837, failed to balance
R06849, failed to balance
R06850, failed to balance
R06880, failed to balance
R06887, failed to balance
R06889, failed to balance
R06900, failed to balance
R06901, failed to balance
R06929, failed to balance
R06938, failed to balance
R06959, failed to balance
R06995, failed to balance
R07007, failed to balance
R07103, failed to balance
R07114, failed to balance
R07115, failed to balance
R07118, failed to balance
R07119, failed to balance
R07123, failed to balance
R07544, failed to balance
R07546, failed to balance
R07549, failed to balance
R07553, failed to balance
R07555, failed to balance
R07578, failed to balance
R07580, failed to balance
R07581, failed to balance
R07655, failed to balance
R07656, failed to balance
R07690, failed to balance
R07693, failed to balance
R07695, failed to balance
R07726, failed to balance
R07732, failed to balance
R07733, failed to balance
R07735, failed to balance
R07742, failed to balance
R07743, failed to balance
R07744, failed to balance
R07755, failed to balance
R07756, failed to balance
R07783, failed to balance
R07785, failed to balance
R07803, failed to balance
R07834, failed to balance
R07838, failed to balance
R07843, failed to balance
R07845, failed to balance
R07846, failed to balance
R07847, failed to balance
R07862, failed to balance
R07900, failed to balance
R07904, failed to balance
R07908, failed to balance
R07909, failed to balance
R07915, failed to balance
R07924, failed to balance
R07925, failed to balance
R07940, failed to balance
R08023, failed to balance
R08027, failed to balance
R08028, failed to balance
R08030, failed to balance
R08033, failed to balance
R08034, failed to balance
R08040, failed to balance
R08122, failed to balance
R08123, failed to balance
R08129, failed to balance
R08132, failed to balance
R08284, failed to balance
R08299, failed to balance
R08302, failed to balance
R08318, failed to balance
R08333, failed to balance
R08334, failed to balance
R08371, failed to balance
R08377, failed to balance
R08378, failed to balance
R08393, failed to balance
R08397, failed to balance
R08399, failed to balance
R08401, failed to balance
R08402, failed to balance
R08411, failed to balance
R08413, failed to balance
R08415, failed to balance
R08417, failed to balance
R08418, failed to balance
R08419, failed to balance
R08420, failed to balance
R08421, failed to balance
R08422, failed to balance
R08423, failed to balance
R08427, failed to balance
R08428, failed to balance
R08429, failed to balance
R08431, failed to balance
R08443, failed to balance
R08444, failed to balance
R08445, failed to balance
R08447, failed to balance
R08450, failed to balance
R08458, failed to balance
R08459, failed to balance
R08470, failed to balance
R08471, failed to balance
R08472, failed to balance
R08473, failed to balance
R08474, failed to balance
R08475, failed to balance
R08478, failed to balance
R08481, failed to balance
R08482, failed to balance
R08484, failed to balance
R08488, failed to balance
R08490, failed to balance
R08496, failed to balance
R08501, failed to balance
R08502, failed to balance
R08506, failed to balance
R08507, failed to balance
R08508, failed to balance
R08509, failed to balance
R08513, failed to balance
R08579, failed to balance
R08585, failed to balance
R08596, failed to balance
R08609, failed to balance
R08614, failed to balance
R08877, failed to balance
R08881, failed to balance
R08882, failed to balance
R08883, failed to balance
R08884, failed to balance
R08885, failed to balance
R08886, failed to balance
R08888, failed to balance
R08928, failed to balance
R08988, failed to balance
R08989, failed to balance
R09043, failed to balance
R09045, failed to balance
R09051, failed to balance
R09083, failed to balance
R09089, failed to balance
R09090, failed to balance
R09100, failed to balance
R09118, failed to balance
R09139, failed to balance
R09142, failed to balance
R09144, failed to balance
R09145, failed to balance
R09153, failed to balance
R09158, failed to balance
R09181, failed to balance
R09197, failed to balance
R09202, failed to balance
R09203, failed to balance
R09333, failed to balance
R09336, failed to balance
R09344, failed to balance
R09347, failed to balance
R09348, failed to balance
R09349, failed to balance
R09360, failed to balance
