K00001,alcohol dehydrogenase [EC:1.1.1.1]
K00002,alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003,homoserine dehydrogenase [EC:1.1.1.3]
K00004,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
K00005,glycerol dehydrogenase [EC:1.1.1.6]
K00006,glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007,D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008,L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009,mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011,aldehyde reductase [EC:1.1.1.21]
K00012,UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013,histidinol dehydrogenase [EC:1.1.1.23]
K00014,shikimate dehydrogenase [EC:1.1.1.25]
K00015,glyoxylate reductase [EC:1.1.1.26]
K00016,L-lactate dehydrogenase [EC:1.1.1.27]
K00018,glycerate dehydrogenase [EC:1.1.1.29]
K00019,3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020,3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021,hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023,acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024,malate dehydrogenase [EC:1.1.1.37]
K00025,malate dehydrogenase [EC:1.1.1.37]
K00026,malate dehydrogenase [EC:1.1.1.37]
K00027,malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028,malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031,isocitrate dehydrogenase [EC:1.1.1.42]
K00032,phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033,6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034,glucose 1-dehydrogenase [EC:1.1.1.47]
K00035,D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037,3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]
K00038,3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039,ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040,fructuronate reductase [EC:1.1.1.57]
K00041,tagaturonate reductase [EC:1.1.1.58]
K00042,2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043,4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044,17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045,mannitol 2-dehydrogenase [EC:1.1.1.67]
K00048,lactaldehyde reductase [EC:1.1.1.77]
K00049,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00051,malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052,3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053,ketol-acid reductoisomerase [EC:1.1.1.86]
K00054,hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055,aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057,glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060,threonine 3-dehydrogenase [EC:1.1.1.103]
K00061,11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062,D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063,D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066,GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067,dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068,sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069,15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
