compound_id,standard_dgf_mu,standard_error
C00001,-238.1367122055623,0.7590340353939811
C00002,-2811.578331958078,1.489985543483472
C00003,-2261.3806478863044,6.693914045434606
C00004,-2236.551670011945,6.697240108384483
C00005,-3070.5260288612576,6.829013246048595
C00006,-3098.931269475794,6.83188502191192
C00007,16.399999999865035,2.931870753584163
C00008,-1945.4278989637223,1.2257909084742944
C00009,-1095.2054811974629,0.7487227046582045
C00010,-3091.7676959124556,7.867188761545221
C00011,-386.0000000000019,2.9318707535840742
C00013,-1966.8036657706114,1.1096494952399023
C00014,-81.91776181003092,1.079008684062359
C00015,-2488.778008591411,4.782780171792432
C00016,-2172.1728715236113,9.334011839720294
C00018,-1168.5527945881995,3.930223795084731
C00019,-347.102950928057,5.057314503730023
C00020,-1033.9604935412508,1.1970871040264504
C00021,-330.3885785085754,4.03062631557717
C00022,-467.91458028218807,0.758544811524285
C00023,-4.610407570059421e-13,2.93187075358405
C00024,-3231.0580128140787,7.826810198529088
C00025,-692.4964449070071,1.2482969627114167
C00026,-790.9910392350721,1.3049152962889048
C00027,-133.98848078973268,2.9318707535840547
C00029,-3145.0224313484823,4.796278337111908
C00031,-915.4644683587076,0.6381575432173497
C00033,-368.4001848570517,0.9836283036236186
C00034,5.018727143244278e-12,2.93187075358405
C00035,-2449.712992726801,8.647820842903643
C00036,-793.6098453781267,1.0537030027619398
C00037,-379.0749530308082,1.3643096553148553
C00041,-368.14381577925167,1.1595292425195534
C00042,-678.7488426035544,1.8507692892754704
C00043,-3120.3200686484724,6.120083188191279
C00044,-3319.9637955637963,8.658006499494993
C00047,-360.38140171859135,3.134958286798916
C00048,-470.7099273366382,1.4157216726872048
C00049,-697.9611139718606,1.2725365958634358
C00051,-940.9345407026665,4.729039446484606
C00052,-3142.104055679764,4.841460417960834
C00053,-2380.272705702017,5.471287510295914
C00054,-1873.1766796107422,2.8587908987971993
C00055,-1362.603194812416,4.441229270894853
C00058,-348.18720939005794,1.35743553456448
C00059,-744.9111310124478,2.2447580462661216
C00061,-1315.2834793199722,8.576715398041651
C00062,-293.7081341437864,4.997621459365522
C00063,-3139.125281704982,4.869357988360366
C00064,-523.7003942784842,1.8518021650506475
C00065,-521.4049206578978,1.1413443332285789
C00067,-123.73883967703209,1.4055686363464852
C00068,-1571.7305792359882,7.82413378895567
C00073,-318.4969537308716,4.185494120130679
C00074,-1267.3802770044276,0.8215117682535327
C00075,-3356.817482251002,4.835338299285634
C00077,-363.0114458439669,4.596425290988138
C00078,-112.48280929533635,2.1653854924235536
C00079,-207.07052002003908,2.931870753584037
C00081,-3063.7830930128434,3.764159949739049
C00082,-370.65666491786845,2.931870753584052
C00084,-140.0555027933688,1.225293240326584
C00085,-1760.8750546099088,0.667625341314266
C00086,-202.77724838008814,2.9318707535840494
C00087,4.0413076408727996e-12,2.93187075358405
C00088,-73.74431231480216,2.931870753584051
C00089,-1568.2361715186994,1.4855380771200979
C00091,-3541.5863084427365,8.034337302970952
C00092,-1763.823666407905,0.6455442396164004
C00093,-1338.3022549816849,1.0428386220943076
C00094,-525.3377525781165,2.931870753584063
C00095,-915.5829775854537,0.6673087408565351
C00096,-3115.4337994747366,9.013114110311987
C00097,-338.86793558993037,2.931870753584059
C00099,-373.3570982108406,5.18215132972619
C00101,-805.9586205346052,11.669874951391149
C00102,-437.29680116529363,11.880290511243055
C00103,-1756.4764436937116,0.8637595820578559
C00104,-2198.833249863324,3.9487413690316293
C00105,-1576.9167904956184,5.664930585698431
C00106,-240.1973203146211,4.063730584857621
C00108,-201.33117647305943,2.9265056897436574
C00109,-469.66340232395584,3.4299738752265396
C00110,-549.342971147706,10.868917395110358
C00111,-1294.7146295239452,0.5614206650336279
C00112,-2272.73079191011,4.4412292708948335
C00113,-1010.7979873722886,11.670335668316902
C00114,-137.5711599164659,8.208145462816558
C00116,-493.7333232489028,1.8993371584757393
C00117,-1597.9613311611258,1.0247949278787716
C00118,-1289.1187980007971,0.6665669034152121
C00119,-3330.739526832004,1.6650275151914133
C00120,-729.4238342750692,8.566107283676525
C00121,-743.0184560408018,1.4779467700893576
C00122,-599.6207742604906,1.1860073949108467
C00123,-348.83313977105473,2.259045071587915
C00124,-908.4156071594105,1.4022656278020915
C00127,-1846.8207855214357,9.420014707691772
C00128,-2258.7011223937825,6.709523201400592
C00129,-1828.3274439664424,3.1769451293781605
C00130,-1262.3700301788047,2.103091608423003
C00131,-2642.069818213512,3.667343997638001
C00132,-175.27724925920583,2.9318707535840507
C00133,-368.1848352977934,1.5269433964001864
C00135,-173.9068422635855,4.105160552741045
C00136,-3210.950798719095,8.071934833225999
C00137,-988.6637207579455,7.511560718966356
C00140,-889.4451962867588,2.565839434707683
C00141,-457.04980584792213,1.5351787001914956
C00143,-716.8116258189252,11.66362812494862
C00144,-1539.0644884899334,8.68420317266569
C00147,308.9521102206015,1.6101152725850356
C00148,-303.76988635733693,5.557896132563766
C00149,-841.1781113959644,0.9873559681976729
C00152,-526.0394534641051,2.9318707535840467
C00153,-32.056860725004924,4.31492396957514
C00154,-3127.3227428080772,10.579079801174615
C00155,-342.7918712802845,4.030626315577204
C00156,-418.37954779967293,2.7056404649999384
C00158,-1160.9093417855465,1.1418723535654725
C00159,-912.775180991792,1.0618272126635526
C00163,-360.7630265083477,2.6065534546501183
C00164,-489.2622790306854,1.9797583854862864
C00166,-307.2654286194249,3.7353101760569043
C00167,-3320.3507277316357,5.333831063928488
C00168,-617.31963208596,1.1488557700106872
C00169,-1227.2984458951955,2.91961765768843
C00170,-3.964788344865269,4.678748414336508
C00177,119.57070440250133,2.9318707535840507
C00178,-232.95509973994342,3.8198908067543926
C00179,49.067523518034086,6.022764047000449
C00181,-750.1316627073195,1.605837464385425
C00182,-2916.231788692054,5.2074433041384545
C00183,-358.67537043502347,2.9318707535840582
C00184,-451.8354526232649,2.1070680654574563
C00185,-1579.9971377625927,2.092902549994021
C00186,-512.821675424726,0.9365860456013928
C00187,-655.5171838343897,16.031985296085892
C00188,-529.0975706198433,2.2432275877588777
C00189,-186.11529369241137,3.2668051163287384
C00190,-2990.6204560085193,5.26646130805491
C00191,-1092.498051338683,1.9153569802574486
C00196,-624.554875750966,4.309148219478836
C00197,-1506.4900289830123,0.7689998249329382
C00198,-901.8902084349177,1.2795376178001732
C00199,-1595.8425625181173,0.966553242752448
C00200,361.64177714355554,9.3096423766763
C00203,-3118.791321551784,5.737650025763999
C00204,-922.8523870939453,3.329542725575931
C00206,-1778.621384458837,3.1166420519311617
C00207,-160.11217099051126,2.096224037069882
C00208,-1578.5618649877806,1.7052387323599236
C00209,-673.8603709251499,2.9318707535840467
C00212,-190.99130346389418,1.4427369054897015
C00213,-344.6440215728936,4.477573289458346
C00214,-563.5943817030336,4.450558086070773
C00216,-745.6492437540669,1.543729509307016
C00217,-691.8644633163399,2.4764548698596216
C00218,-39.854122544960866,2.931870753584046
C00219,80.17207670761036,7.1721743327740075
C00221,-913.8149163499369,1.1302387021299718
C00222,-476.98682857999904,4.18273812175921
C00223,-3195.1189921571986,9.126828725310967
C00224,-1541.6374495728128,2.244758046266127
C00225,345.2523437450962,10.807209288786751
C00227,-1226.7914128825068,1.1006386819216185
C00230,-624.554875750966,4.309148219478836
C00231,-1599.227980993909,1.2153917066622455
C00232,-465.27213951979985,1.3099646305978492
C00233,-448.617108407022,2.2590450715879116
C00234,-932.8126760328807,11.69156567441215
C00235,-1833.2298341488033,3.176945129378153
C00236,-2354.6161910259148,1.0699314535843814
C00237,-119.90000000000022,2.9318707535840507
C00239,-1192.6014785054924,4.70466353406129
C00242,-186.8486922939378,8.908105072621385
C00243,-1575.0026225215993,1.6935776781129104
C00244,-108.69030859955372,2.9318707535840454
C00245,-798.0618624079138,3.710407728297695
C00246,-352.59004126309924,2.9318707535840467
C00247,-913.2444783103577,2.228829403173898
C00248,-87.24799740569478,7.3253860828979995
C00249,-259.3525306085323,2.9318707535840507
C00250,-324.5161276873585,3.841430675730973
C00251,-771.9498736722244,7.670066148143722
C00252,-1584.3659699443153,1.398274746836638
C00253,-193.79849185868454,3.9242573238491847
C00254,-820.5401603261275,10.248584835599567
C00255,-479.6067443903381,9.411927747056456
C00256,-509.7263016973671,2.2356338233956
C00257,-1128.2774041899763,2.931870753584048
C00258,-666.5012847716284,0.995949904311812
C00259,-761.9274655196326,1.3801867088519735
C00262,90.11755932480493,1.8175349700922723
C00263,-490.00231385092246,4.134999880512874
C00265,-294.0860344699769,6.943636225472352
C00266,-293.29955406996197,1.6499867068938745
C00267,-913.8149163499369,1.1302387021299718
C00270,-1361.5334751690302,2.3671005866171075
C00272,-512.2565909951942,11.551586206390839
C00273,-877.843292387459,1.6726508265561528
C00275,-1760.0360636244052,1.2261950438967615
C00279,-1440.779807788474,1.7240531653635112
C00280,-847.3163096161544,14.642731586817408
C00282,17.611375370398797,2.931870753584048
C00283,11.565379085651056,2.9318707535840494
C00284,-1251.3983970509867,7.844595892296142
C00286,-3144.693720389834,8.703285467711886
C00288,-587.7651578065559,1.2280054812908356
C00292,132.475017007036,3.315094401053007
C00294,-410.17786540066635,1.5805361451976865
C00295,-582.1481592740195,5.222476109230709
C00296,-1017.1966683335603,6.541263881227209
C00299,-729.330586272688,3.889594206540662
C00300,-259.1980097717237,2.9318707535840423
C00301,-2456.244569646993,3.41231096778378
C00302,-692.4964449070071,1.2482969627114167
C00303,-523.7003942784842,1.8518021650506475
C00305,-455.261234398201,2.9318707535840507
C00306,-832.3128661502788,25.841324409520347
C00307,-2155.8324827138954,8.855290911957823
C00308,-700.3740958616883,8.08278841377524
C00309,-740.3390980580039,1.5236030233933793
C00310,-746.463856899325,1.5709192239214382
C00311,-1155.7732168181124,1.1472975437037998
C00312,-746.8645032325114,2.1517393203745936
C00313,-3548.7667065732353,8.102533466505152
C00314,-369.25724962901194,4.0206478144943505
C00315,-18.221400509962663,6.318788669876955
C00318,-465.615822625611,8.215244894997012
C00319,-163.53710044494542,5.523180643422175
C00322,-780.8442098975211,2.176180493717351
C00323,-3401.294320108492,9.592263457491173
C00324,-53.889462809619644,7.793270988560833
C00325,-2949.5870991079346,8.793789626253236
C00327,-487.0254537169728,4.434605881455624
C00328,-319.60073373392356,3.5037497724769735
C00329,-766.7004769929504,1.7973549960546227
C00330,-530.3389440073333,8.219402105832344
C00331,-251.78970362002295,4.537169622297358
C00332,-3345.4622391559456,7.911509986330083
C00333,-1091.5443911760487,1.6026830627315005
C00334,-371.7089407273135,1.6226798525558237
C00337,-611.6321764368242,4.962770586126814
C00342,-14.672307418730949,0.7661035432424922
C00343,14.672307418726508,0.7661035432424912
C00345,-1965.4636040405292,1.204953163518389
C00346,-1042.2042864655493,2.177418680131024
C00348,197.04461654176424,26.699359602256745
C00349,-457.6232223789982,1.323588218729853
C00352,-1608.3619151163525,2.358055868741754
C00353,-1495.8281099920857,9.814980454728778
C00354,-2598.8575978629538,1.0814681702146485
C00355,-626.1238627944889,4.299756956538887
C00356,-3693.1134528058155,8.073793271531395
C00357,-1729.565015461439,2.7762663123258773
C00360,-870.2827319573954,2.8628636140656605
C00361,-2280.4568963635616,8.429610893760595
C00362,-1373.7319865800835,8.429610893760564
C00363,-2319.319024223299,4.7017685354117305
C00364,-1410.1178676277211,4.701768535411729
C00365,-1410.9583204219202,4.445893504129121
C00366,-357.57446862625346,2.931870753584047
C00370,-1132.1451057769818,23.386137171743503
C00371,285.8831638685342,4.378126036992169
C00376,305.0841055831157,11.624766505500796
C00378,179.21272556657033,7.519638897155159
C00379,-783.9043150296011,1.717191421113467
C00380,-11.965843489806737,3.7730441683387888
C00381,293.2247189786805,10.725250177520014
C00385,-115.17854163925335,3.55034985735037
C00386,-314.5159301921425,4.840939750080526
C00387,-688.7053498114315,9.104958941145542
C00388,143.45534623742347,4.112844427951169
C00389,-1106.2896946219657,16.048166797686665
C00390,-429.3918481453076,10.763965547448402
C00392,-943.473536991501,1.4292197924077663
C00394,-3110.2090015199274,9.050140475134103
C00396,183.33644108616588,4.676621993985809
C00397,-1253.4134200169842,10.845842900460749
C00398,197.56642770749775,4.418522806443016
C00399,-326.10017021146723,10.763965547448398
C00400,-119.78152450192974,7.345260394281648
C00402,-692.7978917053504,1.5450448328788622
C00406,-3385.7301657200137,9.820852499321145
C00407,-343.86369511830225,2.931870753584047
C00408,-319.0572288562569,8.810609340777743
C00409,-12.243949503240216,3.547331759568709
C00410,-810.0945697754462,15.015897006614708
C00411,-3576.341339282828,11.611466907063733
C00412,-3110.786723278562,10.947654682512557
C00413,-1464.8270764868041,15.389311669471216
C00414,-120.7864453922328,7.256056071279391
C00415,-762.7011794713333,11.672845116282646
C00417,-915.7680914427044,1.539617725517757
C00418,-646.7132159261962,1.2798674733651363
C00420,-2242.6057254606817,3.754927152874376
C00424,-287.76850850605774,1.3859779310476878
C00427,-857.4109924867639,12.419485233499959
C00429,-259.5482129856321,3.328283341624123
C00430,-477.60122669041215,1.4738737321330313
C00431,-353.74607965589,1.715761811281399
C00433,-576.8499138619707,1.501747249702061
C00436,-143.2542556852232,3.9525121887403607
C00437,-487.636414980273,3.9099820294571557
C00438,-811.0494333174214,4.559279177296606
C00439,-585.5886989718888,4.23151370149767
C00440,-778.2999561206523,12.19619422426463
C00441,-449.49981715256536,3.6992114796064133
C00445,-730.7745604272212,11.69177383720484
C00446,-1752.7083766477933,1.2735224293640035
C00447,-2750.13111364617,2.060446354318899
C00448,-1607.8991259717538,7.439185549070558
C00449,-971.0569422027976,3.8781485121357284
C00450,-209.5630547773019,5.2696394815386665
C00451,-1154.9966310078248,2.0594114728531565
C00455,-1415.008833323659,7.144365332815138
C00458,-2965.697035351421,5.130439208828915
C00459,-3180.092700711443,5.38295893339293
